iter	Passed	Remaining
739	1354	475
740	1355	473
741	1356	471
742	1357	469
743	1358	467
744	1361	465
745	1362	463
746	1363	461
747	1364	459
748	1365	457
749	1366	455
750	1367	453
751	1368	451
752	1369	449
753	1369	446
754	1371	444
755	1372	442
756	1376	441
757	1377	439
758	1379	437
759	1380	435
760	1381	433
761	1381	431
762	1382	429
763	1383	427
764	1384	425
765	1385	423
766	1386	421
767	1387	419
768	1391	418
769	1393	416
770	1394	414
771	1395	412
772	1396	410
773	1397	407
774	1397	405
775	1398	403
776	1400	401
777	1401	399
778	1402	397
779	1404	396
780	1405	394
781	1406	392
782	1407	390
783	1409	388
784	1410	386
785	1411	384
786	1413	382
787	1414	380
788	1415	378
789	1416	376
790	1420	375
791	1421	373
792	1422	371
793	1423	369
794	1424	367
795	1425	365
796	1426	363
797	1427	361
798	1428	359
799	1429	357
800	1430	355
801	1431	353
802	1435	352
803	1437	350
804	1437	348
805	1438	346
806	1439	344
807	1440	342
808	1441	340
809	1442	338
810	1443	336
811	1444	334
812	1445	332
813	1446	330
814	1448	328
815	1450	326
816	1451	325
817	1451	323
818	1453	321
819	1454	319
820	1454	317
821	1455	315
822	1457	313
823	1458	311
824	1459	309
825	1460	307
826	1465	306
827	1466	304
828	1467	302
829	1469	300
830	1470	299
831	1471	297
832	1473	295
833	1475	293
834	1479	292
835	1480	290
836	1481	288
837	1482	286
838	1483	284
839	1484	282
840	1485	280
841	1486	278
842	1487	277
843	1489	275
844	1490	273
845	1492	271
846	1493	269
847	1494	267
848	1496	266
849	1497	264
850	1498	262
851	1499	260
852	1500	258
853	1501	256
854	1502	254
855	1503	252
856	1504	251
857	1508	249
858	1509	247
859	1510	245
860	1511	244
861	1512	242
862	1514	240
863	1515	238
864	1516	236
865	1517	234
866	1518	232
867	1519	231
868	1522	229
869	1523	227
870	1524	225
871	1525	223
872	1526	222
873	1527	220
874	1528	218
875	1529	216
876	1530	214
877	1532	212
878	1533	211
879	1535	209
880	1536	207
881	1537	205
882	1538	203
883	1541	202
884	1543	200
885	1545	198
886	1547	197
887	1550	195
888	1552	193
889	1554	192
890	1555	190
891	1556	188
892	1557	186
893	1558	184
894	1559	182
895	1560	181
896	1562	179
897	1564	177
898	1566	176
899	1568	174
900	1569	172
901	1570	170
902	1571	168
903	1572	166
904	1573	165
905	1574	163
906	1575	161
907	1576	159
908	1577	157
909	1581	156
910	1582	154
911	1583	152
912	1584	150
913	1585	149
914	1586	147
915	1587	145
916	1588	143
917	1589	141
918	1590	140
919	1592	138
920	1595	136
921	1596	135
922	1597	133
923	1598	131
924	1599	129
925	1600	127
926	1601	126
927	1602	124
928	1603	122
929	1604	120
930	1605	118
931	1606	117
932	1610	115
933	1611	113
934	1612	112
935	1613	110
936	1615	108
937	1616	106
938	1618	105
939	1619	103
940	1620	101
941	1621	99
942	1623	98
943	1625	96
944	1626	94
945	1627	92
946	1628	91
947	1629	89
948	1630	87
949	1631	85
950	1632	84
951	1633	82
952	1634	80
953	1635	78
954	1639	77
955	1640	75
956	1642	73
957	1643	72
958	1644	70
959	1646	68
960	1647	66
961	1648	65
962	1649	63
963	1653	61
964	1656	60
965	1658	58
966	1658	56
967	1659	54
968	1660	53
969	1661	51
970	1662	49
971	1664	47
972	1665	46
973	1667	44
974	1668	42
975	1670	41
976	1672	39
977	1673	37
978	1674	35
979	1675	34
980	1676	32
