iter	Passed	Remaining
693	1164	513
694	1165	511
695	1167	509
696	1168	507
697	1169	505
698	1170	504
699	1171	502
700	1172	500
701	1173	498
702	1174	496
703	1175	494
704	1176	492
705	1177	490
706	1178	488
707	1179	486
708	1181	484
709	1182	482
710	1183	480
711	1184	479
712	1185	477
713	1186	475
714	1189	473
715	1190	472
716	1191	470
717	1192	468
718	1193	466
719	1194	464
720	1195	462
721	1196	460
722	1197	458
723	1198	456
724	1199	454
725	1200	453
726	1201	451
727	1202	449
728	1203	447
729	1204	445
730	1206	443
731	1207	442
732	1209	440
733	1212	439
734	1214	438
735	1217	436
736	1221	435
737	1222	434
738	1227	433
739	1229	431
740	1230	430
741	1231	428
742	1233	426
743	1234	424
744	1235	422
745	1236	420
746	1237	419
747	1239	417
748	1241	415
749	1242	414
750	1243	412
751	1244	410
752	1245	408
753	1246	406
754	1247	404
755	1249	403
756	1250	401
757	1251	399
758	1252	397
759	1253	395
760	1255	394
761	1256	392
762	1257	390
763	1258	388
764	1259	387
765	1260	385
766	1261	383
767	1262	381
768	1263	379
769	1264	377
770	1265	376
771	1267	374
772	1270	373
773	1271	371
774	1272	369
775	1274	367
776	1275	366
777	1277	364
778	1278	362
779	1279	360
780	1280	359
781	1281	357
782	1283	355
783	1284	353
784	1286	352
785	1287	350
786	1287	348
787	1289	346
788	1290	345
789	1291	343
790	1292	341
791	1293	339
792	1294	337
793	1295	336
794	1296	334
795	1300	333
796	1301	331
797	1304	330
798	1305	328
799	1306	326
800	1307	324
801	1308	323
802	1309	321
803	1311	319
804	1313	318
805	1314	316
806	1315	314
807	1316	312
808	1317	311
809	1318	309
810	1319	307
811	1320	305
812	1321	303
813	1322	302
814	1324	300
815	1324	298
816	1326	297
817	1329	295
818	1332	294
819	1333	292
820	1334	291
821	1336	289
822	1337	287
823	1338	285
824	1339	284
825	1340	282
826	1342	280
827	1343	279
828	1344	277
829	1344	275
830	1347	274
831	1350	272
832	1351	270
833	1352	269
834	1353	267
835	1355	265
836	1357	264
837	1359	262
838	1360	261
839	1361	259
840	1362	257
841	1363	255
842	1364	254
843	1365	252
844	1366	250
845	1367	248
846	1368	247
847	1369	245
848	1371	243
849	1372	242
850	1374	240
851	1375	238
852	1377	237
853	1378	235
854	1380	234
855	1381	232
856	1382	230
857	1385	229
858	1387	227
859	1388	225
860	1389	224
861	1390	222
862	1391	220
863	1392	219
864	1393	217
865	1394	215
866	1395	214
867	1396	212
868	1397	210
869	1400	209
870	1401	207
871	1402	205
872	1403	204
873	1404	202
874	1405	200
875	1406	199
876	1407	197
877	1408	195
878	1409	194
879	1410	192
880	1411	190
881	1413	189
882	1415	187
883	1417	185
884	1418	184
885	1419	182
886	1420	180
887	1422	179
888	1423	177
889	1424	176
890	1426	174
891	1427	172
892	1428	171
893	1429	169
894	1430	167
895	1431	166
896	1432	164
897	1433	162
898	1434	161
899	1435	159
900	1436	157
901	1437	156
902	1439	154
903	1440	152
904	1441	151
905	1442	149
906	1443	148
907	1445	146
908	1446	144
909	1446	143
910	1447	141
911	1449	139
912	1450	138
913	1452	136
914	1453	134
915	1454	133
916	1455	131
917	1456	130
918	1457	128
919	1459	126
920	1461	125
921	1462	123
922	1463	122
923	1464	120
924	1465	118
925	1466	117
926	1467	115
927	1468	113
928	1469	112
929	1470	110
930	1471	109
931	1473	107
932	1475	105
933	1476	104
934	1477	102
935	1479	101
936	1480	99
937	1482	97
938	1483	96
939	1484	94
940	1486	93
941	1487	91
942	1488	89
943	1489	88
944	1490	86
945	1492	85
946	1493	83
947	1495	82
948	1496	80
949	1497	78
950	1498	77
951	1499	75
952	1500	74
953	1503	72
954	1505	70
955	1506	69
956	1507	67
957	1508	66
958	1509	64
959	1510	62
960	1511	61
961	1512	59
962	1513	58
963	1514	56
964	1515	54
965	1516	53
966	1517	51
967	1518	50
968	1519	48
969	1520	47
970	1521	45
971	1522	43
972	1523	42
973	1524	40
974	1528	39
975	1532	37
976	1533	36
977	1534	34
978	1536	32
979	1537	31
980	1539	29
981	1541	28
982	1542	26
983	1543	25
984	1544	23
985	1545	21
986	1546	20
987	1547	18
988	1548	17
989	1549	15
990	1551	14
991	1552	12
992	1553	10
993	1554	9
994	1555	7
995	1556	6
996	1557	4
997	1558	3
998	1559	1
999	1560	0
